timestamp,variant,size,nx,nz,sim_time,nodes,ranks,threads_per_rank,total_cores,gpus,run_id,wall_time_s,d_mass,d_te,passed,raw_log
2026-05-31T19:01:46+08:00,serial,easy,1000,500,20,1,1,1,1,0,1,76.4937,-1.074292e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/serial_easy_n1_r1_t1_g0_rep1.out
2026-05-31T19:03:05+08:00,serial,easy,1000,500,20,1,1,1,1,0,2,76.2715,-1.074292e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/serial_easy_n1_r1_t1_g0_rep2.out
2026-05-31T19:04:23+08:00,serial,easy,1000,500,20,1,1,1,1,0,3,76.2821,-1.074292e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/serial_easy_n1_r1_t1_g0_rep3.out
2026-05-31T19:06:02+08:00,openmp,easy,1000,500,20,1,1,1,1,0,1,82.5655,-1.074292e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t1_g0_rep1.out
2026-05-31T19:07:26+08:00,openmp,easy,1000,500,20,1,1,1,1,0,2,82.0265,-1.074292e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t1_g0_rep2.out
2026-05-31T19:08:50+08:00,openmp,easy,1000,500,20,1,1,1,1,0,3,81.9035,-1.074292e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t1_g0_rep3.out
2026-05-31T19:09:35+08:00,openmp,easy,1000,500,20,1,1,2,2,0,1,41.6495,-6.523883e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t2_g0_rep1.out
2026-05-31T19:10:18+08:00,openmp,easy,1000,500,20,1,1,2,2,0,2,41.5286,-6.523883e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t2_g0_rep2.out
2026-05-31T19:11:02+08:00,openmp,easy,1000,500,20,1,1,2,2,0,3,41.2699,-6.523883e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t2_g0_rep3.out
2026-05-31T19:11:25+08:00,openmp,easy,1000,500,20,1,1,4,4,0,1,21.0701,2.668151e-13,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t4_g0_rep1.out
2026-05-31T19:11:47+08:00,openmp,easy,1000,500,20,1,1,4,4,0,2,21.0884,2.668151e-13,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t4_g0_rep2.out
2026-05-31T19:12:10+08:00,openmp,easy,1000,500,20,1,1,4,4,0,3,21.1304,2.668151e-13,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t4_g0_rep3.out
2026-05-31T19:12:22+08:00,openmp,easy,1000,500,20,1,1,8,8,0,1,10.7572,7.852099e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t8_g0_rep1.out
2026-05-31T19:12:35+08:00,openmp,easy,1000,500,20,1,1,8,8,0,2,10.7738,7.852099e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t8_g0_rep2.out
2026-05-31T19:12:47+08:00,openmp,easy,1000,500,20,1,1,8,8,0,3,10.7587,7.852099e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t8_g0_rep3.out
2026-05-31T19:12:54+08:00,openmp,easy,1000,500,20,1,1,16,16,0,1,5.81338,-4.492495e-15,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t16_g0_rep1.out
2026-05-31T19:13:01+08:00,openmp,easy,1000,500,20,1,1,16,16,0,2,5.81051,-4.687820e-15,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t16_g0_rep2.out
2026-05-31T19:13:09+08:00,openmp,easy,1000,500,20,1,1,16,16,0,3,5.82691,-4.492495e-15,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t16_g0_rep3.out
2026-05-31T19:13:13+08:00,openmp,easy,1000,500,20,1,1,32,32,0,1,3.1178,2.695497e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t32_g0_rep1.out
2026-05-31T19:13:18+08:00,openmp,easy,1000,500,20,1,1,32,32,0,2,3.10195,2.695497e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t32_g0_rep2.out
2026-05-31T19:13:22+08:00,openmp,easy,1000,500,20,1,1,32,32,0,3,3.06295,2.675964e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/openmp_easy_n1_r1_t32_g0_rep3.out
2026-05-31T19:15:02+08:00,mpi,easy,1000,500,20,1,1,1,1,0,1,76.3157,-1.074292e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/mpi_easy_n1_r1_t1_g0_rep1.out
2026-05-31T19:16:20+08:00,mpi,easy,1000,500,20,1,1,1,1,0,2,76.1947,-1.074292e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/mpi_easy_n1_r1_t1_g0_rep2.out
2026-05-31T19:17:39+08:00,mpi,easy,1000,500,20,1,1,1,1,0,3,76.4124,-1.074292e-14,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/mpi_easy_n1_r1_t1_g0_rep3.out
2026-05-31T19:18:19+08:00,mpi,easy,1000,500,20,1,2,1,2,0,1,37.5696,1.896614e-13,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/mpi_easy_n1_r2_t1_g0_rep1.out
2026-05-31T19:18:58+08:00,mpi,easy,1000,500,20,1,2,1,2,0,2,37.7247,1.896614e-13,-5.822498e-05,true,/work/u6940591/miniWeather-bench/logs/runs/mpi_easy_n1_r2_t1_g0_rep2.out
